nome;longitude;latitude
Adolfo;-49.645.128;-21.232.494
Aguaí;-46.973.502;-22.057.207
Agudos;-48.98.632;-22.469.433
Alambari;-47.897.971;-23.550.338
Alfredo Marcondes;-51.413.956;-219.527
Altair;-49.057.073;-20.524.207
Altinópolis;-473.712;-21.021.364
Alto Alegre;-50.16.798;-21.581.103
Alumínio;-47.254.571;-23.530.553
Alvinlândia;-49.762.323;-22.443.481
Americana;-47.333.119;-22.73.736
Amparo;-46.772.022;-22.70.879
Américo Brasiliense;-48.11.467;-21.728.771
Américo de Campos;-49.735.904;-20.298.476
Analândia;-47.661.939;-22.128.917
Andradina;-51.378.568;-20.894.761
Angatuba;-48.413.872;-23.491.733
Anhembi;-48.133.595;-22.792.959
Anhumas;-51.389.542;-22.293.414
Aparecida;-45.232.496;-22.849.509
Aparecida d`Oeste;-50.883.506;-20.448.734
Apiaí;-48.844.271;-24.510.819
Aramina;-47.787.251;-20.088.152
Arandu;-49.048.661;-23.138.559
Arapeí;-44.444.127;-22.671.744
Araraquara;-48.178.014;-21.784.511
Araras;-47.384.235;-22.357.238
Araçariguama;-47.060.825;-23.436.597
Araçatuba;-50.440.106;-21.207.648
Araçoiaba da Serra;-47.616.605;-23.502.901
Arco-Íris;-50.466.018;-21.772.797
Arealva;-48.913.511;-22.031.026
Areias;-44.69.924;-22.578.597
Areiópolis;-48.668.052;-22.667.216
Ariranha;-48.790.418;-21.18.716
Artur Nogueira;-47.172.679;-22.572.737
Arujá;-46.319.983;-23.396.476
Aspásia;-50.728.046;-20.160.028
Assis;-50.418.307;-22.659.957
Atibaia;-46.556.262;-23.117.059
Auriflama;-50.55.719;-20.683.621
Avanhandava;-49.950.893;-21.458.416
Avaré;-48.925.052;-23.106.732
Avaí;-49.335.596;-22.151.409
Bady Bassitt;-494.385;-20.919.689
Balbinos;-49.361.906;-21.896.293
Bananal;-44.328.114;-22.681.932
Barbosa;-49.951.816;-21.265.661
Bariri;-48.743.828;-22.072.955
Barra Bonita;-48.558.349;-22.490.859
Barra do Chapéu;-49.023.784;-24.472.203
Barra do Turvo;-48.50.126;-24.759.035
Barretos;-48.569.832;-20.553.146
Barrinha;-48.163.614;-21.186.374
Barueri;-46.879.042;-23.505.689
Barão de Antonina;-49.563.366;-23.628.419
Bastos;-50.735.695;-21.920.984
Batatais;-47.592.149;-20.892.867
Bauru;-49.087.142;-22.324.569
Bebedouro;-48.479.083;-20.949.077
Bento de Abreu;-50.813.959;-21.268.629
Bernardino de Campos;-49.467.897;-23.016.439
Bertioga;-46.139.586;-23.848.568
Bilac;-50.47.464;-21.403.962
Birigui;-50.343.162;-21.291.034
Biritiba-Mirim;-460.407;-23.569.774
Boa Esperança do Sul;-48.390.622;-21.991.832
Bocaina;-48.523.044;-22.136.538
Bofete;-48.258.203;-23.105.543
Boituva;-47.678.574;-23.285.531
Bom Jesus dos Perdões;-46.467.474;-23.135.579
Bom Sucesso de Itararé;-49.145.104;-24.315.511
Boracéia;-48.780.751;-22.192.645
Borborema;-49.074.089;-21.621.368
Borebi;-48.970.749;-22.572.763
Borá;-50.540.919;-22.269.627
Botucatu;-48.443.706;-22.883.697
Bragança Paulista;-46.54.188;-22.952.681
Braúna;-50.317.489;-21.499.039
Brejo Alegre;-50.186.076;-21.165.147
Brodowski;-47.657.217;-20.984.532
Brotas;-48.125.115;-22.279.476
Buri;-48.595.811;-23.797.689
Buritama;-50.147.494;-21.066.064
Buritizal;-47.709.636;-20.191.084
Bálsamo;-49.586.487;-20.734.843
Cabreúva;-47.136.251;-23.30.533
Cabrália Paulista;-49.339.337;-22.45.756
Cachoeira Paulista;-45.015.384;-22.666.498
Caconde;-46.643.659;-21.527.995
Cafelândia;-49.609.213;-21.803.112
Caiabu;-51.239.408;-22.012.719
Caieiras;-46.73.974;-23.360.729
Caiuá;-51.996.918;-21.832.164
Cajamar;-46.878.146;-23.355.014
Cajati;-48.122.347;-24.73.239
Cajobi;-48.806.336;-20.877.287
Cajuru;-47.303.022;-21.274.934
Campina do Monte Alegre;-484.758;-23.58.948
Campinas;-47.06.595;-22.905.346
Campo Limpo Paulista;-46.788.919;-23.207.791
Campos Novos Paulista;-49.998.726;-22.601.952
Campos do Jordão;-45.583.337;-22.729.618
Cananéia;-47.934.074;-25.014.428
Canas;-45.052.117;-22.700.344
Canitar;-49.783.947;-23.004.014
Capela do Alto;-47.738.834;-23.468.471
Capivari;-47.50.715;-22.995.144
Capão Bonito;-48.348.222;-24.011.265
Caraguatatuba;-45.412.533;-23.612.535
Carapicuíba;-46.840.676;-23.523.471
Cardoso;-49.918.322;-20.080.031
Casa Branca;-47.085.245;-21.77.081
Castilho;-51.488.394;-20.868.924
Catanduva;-48.977.015;-21.131.381
Catiguá;-49.06.162;-21.051.861
Caçapava;-45.707.645;-23.099.204
Cedral;-49.266.426;-20.900.949
Cerqueira César;-49.165.524;-23.037.999
Cerquilho;-47.745.862;-23.166.487
Cesário Lange;-47.954.453;-23.226.035
